name,position,element,fixture,oppoine,opponentposition,was_home,difficulty,minutes,starts,goals_scored,assists,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,red_cards,bonus,bps,total_points,value,xP,team_a_score,team_h_score,playerteamposition,penalties_missed,yellow_cards,clean_sheets,goals_conceded,saves,penalties_saved,team
Ivan Toney,FWD,117,8,18,8,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,80,0.0,2,2,9,0.0,,,,,,Unknown
Eddie Nketiah,FWD,13,2,16,16,True,5,72,1,1.0,0.0,7.2,30.2,5.9,36,0.21,0.01,0.22,0.3,0,2,26,8,55,2.4,1,2,2,0.0,,,,,,Unknown
Kieffer Moore,FWD,76,3,19,14,True,4,23,0,0.0,0.0,0.9,0.0,3.3,7,0.04,0.05,0.09,0.23,0,0,2,1,50,1.4,1,1,15,0.0,,,,,,Unknown
Rasmus Højlund,FWD,617,10,20,13,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,70,0.0,0,1,3,0.0,,,,,,Unknown
Luke Plange,FWD,237,7,17,PROMOTED,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,0,11,0.0,,,,,,Unknown
Andi Zeqiri,FWD,155,4,12,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.5,1,4,6,0.0,,,,,,Unknown
Fábio Silva,FWD,552,10,14,3,False,3,13,0,0.0,0.0,7.9,11.2,10.8,57,0.33,0.01,0.34,0.29,0,0,6,1,55,1.4,0,1,13,0.0,,,,,,Unknown
William Osula,FWD,490,7,8,11,True,4,90,1,0.0,0.0,0.0,0.0,0.0,0,0.24,0.01,0.25,2.01,0,0,-5,1,45,0.5,1,0,PROMOTED,0.0,,,,,,Unknown
Ollie Watkins,FWD,60,6,15,4,False,3,90,1,0.0,1.0,8.5,32.2,23.4,29,0.23,0.1,0.33,3.44,0,0,18,5,80,2.1,1,5,7,0.0,,,,,,Unknown
Gianluca Scamacca,FWD,541,3,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,1,1,14,0.0,,,,,,Unknown
